year,Chinook,Sockeye,Coho,Pink,Chum
1962,618,4430,3921,2889,2035
1963,1431,9979,11612,10198,11024
1964,2911,20299,29388,114555,10771
1965,3106,21419,8301,4729,2480
1966,4516,36710,16493,61908,17730
1967,6372,29226,6747,4713,5955
1968,4604,14594,36407,91028,14537
1969,5021,19211,5791,11962,2318
1970,3199,15121,18529,20523,12304
1971,3717,18143,14876,22216,4665
1972,9342,51725,38440,17197,17442
1973,9254,21393,5837,6585,6680
1974,8199,2428,16021,4188,2107
1975,1529,0,0,0,1
1976,1123,18,6074,722,124
1977,1443,48385,14424,16318,4233
1978,531,56,32650,1157,1001
1979,91,2158,234,13478,1064
1980,631,14053,2946,7224,6910
1981,283,8833,1403,1466,3594
1982,1052,7136,20003,16174,734
1983,47,178,15369,4171,675
1984,14,1290,5141,4960,1892
1985,20,1060,1926,5325,1892
1986,102,4185,7439,4901,5928
1987,149,1620,1015,3331,949
1988,206,1246,12,144,3109
1989,310,10083,4261,27640,3375
1990,557,11574,8218,13822,9382
1991,1366,17987,15629,6406,5977
1992,967,52717,22127,66742,15458
1993,1628,76874,14307,39661,22504
1994,1996,97224,44891,35405,27658
1995,1702,76756,17834,37788,54296
1996,1717,154150,19059,37651,135623
1997,2566,93039,2140,65745,38913
1998,460,22031,19206,39246,41057
1999,1049,36601,28437,48552,117196
2000,1671,15833,5651,9497,40337
2001,7,610,10731,11012,5397
2002,25,208,21131,4578,2017
2003,312,42158,38795,76113,51701
2004,7410,103392,26617,20439,37996
2005,26970,99465,42203,106395,150121
2006,30033,61298,34430,56810,343827
2007,17463,70580,19880,39872,177573
2008,14599,35679,34479,18105,81876
2009,2830,36680,30860,27010,190800
2010,2359,32737,42772,58610,51005
2011,5321,51478,20720,65022,142526
2012,8027,21997,20100,16374,240569
2013,10817,20609,43669,116026,103365
2014,8023,19808,30184,33830,84771
2015,13845,22896,30153,35926,166009
2016,10024,70143,22146,35250,200653
2017,3817,14282,13592,49027,177119
2018,2649,5731,8823,15643,133812
2019,4253,6591,9478,10884,50653
2020,2617,2781,20981,11798,53677
2021,93,815,12140,6482,49371
2022,481,5668,14147,11708,73453
2023,646,5904,20944,29197,105343
