FISHERY,YEAR,SPECIES,HARVEST
Hand Troll Traditional,1980,PINK,NA
Hand Troll Traditional,1980,CHUM,NA
Hand Troll Traditional,1980,TOTAL,NA
Hand Troll Hatchery Terminal,1980,CHINOOK,NA
Hand Troll Hatchery Terminal,1980,JACKS,NA
Hand Troll Hatchery Terminal,1980,SOCKEYE,NA
Hand Troll Hatchery Terminal,1980,COHO,NA
Hand Troll Hatchery Terminal,1980,PINK,NA
Hand Troll Hatchery Terminal,1980,CHUM,NA
Hand Troll Hatchery Terminal,1980,TOTAL,NA
Hand Troll Spring Fishery,1980,CHINOOK,NA
Hand Troll Spring Fishery,1980,JACKS,NA
Hand Troll Spring Fishery,1980,SOCKEYE,NA
Hand Troll Spring Fishery,1980,COHO,NA
Hand Troll Spring Fishery,1980,PINK,NA
Hand Troll Spring Fishery,1980,CHUM,NA
Hand Troll Spring Fishery,1980,TOTAL,NA
Power Troll Total,1980,CHINOOK,NA
Power Troll Total,1980,JACKS,NA
Power Troll Total,1980,SOCKEYE,NA
Power Troll Total,1980,COHO,NA
Power Troll Total,1980,PINK,NA
Power Troll Total,1980,CHUM,NA
Power Troll Total,1980,TOTAL,NA
Power Troll Traditional,1980,CHINOOK,
Power Troll Traditional,1980,JACKS,
Power Troll Traditional,1980,SOCKEYE,
Power Troll Traditional,1980,COHO,
Power Troll Traditional,1980,PINK,
Power Troll Traditional,1980,CHUM,
Power Troll Traditional,1980,TOTAL,
Power Troll Hatchery Terminal,1980,CHINOOK,NA
Power Troll Hatchery Terminal,1980,JACKS,NA
Power Troll Hatchery Terminal,1980,SOCKEYE,NA
Power Troll Hatchery Terminal,1980,COHO,NA
Power Troll Hatchery Terminal,1980,PINK,NA
Power Troll Hatchery Terminal,1980,CHUM,NA
Power Troll Hatchery Terminal,1980,TOTAL,NA
Power Troll Spring Fishery,1980,CHINOOK,NA
Power Troll Spring Fishery,1980,JACKS,NA
Power Troll Spring Fishery,1980,SOCKEYE,NA
Power Troll Spring Fishery,1980,COHO,NA
Power Troll Spring Fishery,1980,PINK,NA
Power Troll Spring Fishery,1980,CHUM,NA
Power Troll Spring Fishery,1980,TOTAL,NA
Total Annette Island Reservation,1980,CHINOOK,41
Total Annette Island Reservation,1980,JACKS,0
Total Annette Island Reservation,1980,SOCKEYE,17636
Total Annette Island Reservation,1980,COHO,3474
Total Annette Island Reservation,1980,PINK,656190
Total Annette Island Reservation,1980,CHUM,56051
Total Annette Island Reservation,1980,TOTAL,733392
Annette Island Purse Seine,1980,CHINOOK,3
Annette Island Purse Seine,1980,JACKS,0
Annette Island Purse Seine,1980,SOCKEYE,1861
Annette Island Purse Seine,1980,COHO,909
Annette Island Purse Seine,1980,PINK,464336
Annette Island Purse Seine,1980,CHUM,17272
Annette Island Purse Seine,1980,TOTAL,484381
Annette Island Drift Gillnet,1980,CHINOOK,38
Annette Island Drift Gillnet,1980,JACKS,0
Annette Island Drift Gillnet,1980,SOCKEYE,15775
Annette Island Drift Gillnet,1980,COHO,2565
Annette Island Drift Gillnet,1980,PINK,191854
Annette Island Drift Gillnet,1980,CHUM,38779
Annette Island Drift Gillnet,1980,TOTAL,249011
Total Annette Island Troll,1980,CHINOOK,0
Total Annette Island Troll,1980,JACKS,0
Total Annette Island Troll,1980,SOCKEYE,0
Total Annette Island Troll,1980,COHO,0
Total Annette Island Troll,1980,PINK,0
Total Annette Island Troll,1980,CHUM,0
Total Annette Island Troll,1980,TOTAL,0
Annette Island Hand Troll,1980,CHINOOK,0
Annette Island Hand Troll,1980,JACKS,0
Annette Island Hand Troll,1980,SOCKEYE,0
Annette Island Hand Troll,1980,COHO,0
Annette Island Hand Troll,1980,PINK,0
Annette Island Hand Troll,1980,CHUM,0
Annette Island Hand Troll,1980,TOTAL,0
Annette Island Power Troll,1980,CHINOOK,0
Annette Island Power Troll,1980,JACKS,0
Annette Island Power Troll,1980,SOCKEYE,0
Annette Island Power Troll,1980,COHO,0
Annette Island Power Troll,1980,PINK,0
Annette Island Power Troll,1980,CHUM,0
Annette Island Power Troll,1980,TOTAL,0
Hatchery Cost Recovery,1980,CHINOOK,0
Hatchery Cost Recovery,1980,JACKS,0
Hatchery Cost Recovery,1980,SOCKEYE,0
Hatchery Cost Recovery,1980,COHO,0
Hatchery Cost Recovery,1980,PINK,0
Hatchery Cost Recovery,1980,CHUM,752
Hatchery Cost Recovery,1980,TOTAL,752
Miscellaneous,1980,CHINOOK,611
Miscellaneous,1980,JACKS,0
Miscellaneous,1980,SOCKEYE,568
Miscellaneous,1980,COHO,23
Miscellaneous,1980,PINK,7324
Miscellaneous,1980,CHUM,1651
Miscellaneous,1980,TOTAL,10177
Southern Totals,1980,CHINOOK,44493
Southern Totals,1980,JACKS,0
Southern Totals,1980,SOCKEYE,738325
Southern Totals,1980,COHO,339789
Southern Totals,1980,PINK,12811807
Southern Totals,1980,CHUM,833154
Southern Totals,1980,TOTAL,14767568
Northern Totals,1980,CHINOOK,138625
Northern Totals,1980,JACKS,0
Northern Totals,1980,SOCKEYE,206883
Northern Totals,1980,COHO,698255
Northern Totals,1980,PINK,1321849
Northern Totals,1980,CHUM,856911
Northern Totals,1980,TOTAL,3222523
Yakutat,1980,CHINOOK,6965
Yakutat,1980,JACKS,0
Yakutat,1980,SOCKEYE,159569
Yakutat,1980,COHO,133257
Yakutat,1980,PINK,143145
Yakutat,1980,CHUM,20159
Yakutat,1980,TOTAL,463095
Region Totals,1980,CHINOOK,190083
Region Totals,1980,JACKS,0
Region Totals,1980,SOCKEYE,1104777
Region Totals,1980,COHO,1171301
Region Totals,1980,PINK,14276801
Region Totals,1980,CHUM,1710224
Region Totals,1980,TOTAL,18453186
Total Purse Seine,1981,CHINOOK,10264
Total Purse Seine,1981,JACKS,0
Total Purse Seine,1981,SOCKEYE,438921
Total Purse Seine,1981,COHO,237402
Total Purse Seine,1981,PINK,16268867
Total Purse Seine,1981,CHUM,517002
Total Purse Seine,1981,TOTAL,17472456
Southern Purse Seine Total,1981,CHINOOK,7984
Southern Purse Seine Total,1981,JACKS,0
Southern Purse Seine Total,1981,SOCKEYE,378171
Southern Purse Seine Total,1981,COHO,193386
Southern Purse Seine Total,1981,PINK,11840155
Southern Purse Seine Total,1981,CHUM,234248
Southern Purse Seine Total,1981,TOTAL,12653944
Southern Purse Seine Traditional,1981,CHINOOK,7984
Southern Purse Seine Traditional,1981,JACKS,0
Southern Purse Seine Traditional,1981,SOCKEYE,378171
Southern Purse Seine Traditional,1981,COHO,193386
Southern Purse Seine Traditional,1981,PINK,11840155
Southern Purse Seine Traditional,1981,CHUM,234248
Southern Purse Seine Traditional,1981,TOTAL,12653944
Southern Purse Seine Hatchery Terminal,1981,CHINOOK,0
Southern Purse Seine Hatchery Terminal,1981,JACKS,0
Southern Purse Seine Hatchery Terminal,1981,SOCKEYE,0
Southern Purse Seine Hatchery Terminal,1981,COHO,0
Southern Purse Seine Hatchery Terminal,1981,PINK,0
Southern Purse Seine Hatchery Terminal,1981,CHUM,0
Southern Purse Seine Hatchery Terminal,1981,TOTAL,0
Northern Purse Seine Total,1981,CHINOOK,2280
Northern Purse Seine Total,1981,JACKS,0
Northern Purse Seine Total,1981,SOCKEYE,60750
Northern Purse Seine Total,1981,COHO,44016
Northern Purse Seine Total,1981,PINK,4428712
Northern Purse Seine Total,1981,CHUM,282754
Northern Purse Seine Total,1981,TOTAL,4818512
Northern Purse Seine Traditional,1981,CHINOOK,2280
Northern Purse Seine Traditional,1981,JACKS,0
Northern Purse Seine Traditional,1981,SOCKEYE,60750
Northern Purse Seine Traditional,1981,COHO,44016
Northern Purse Seine Traditional,1981,PINK,4428712
Northern Purse Seine Traditional,1981,CHUM,282754
Northern Purse Seine Traditional,1981,TOTAL,4818512
Northern Purse Seine Hatchery Terminal,1981,CHINOOK,0
Northern Purse Seine Hatchery Terminal,1981,JACKS,0
Northern Purse Seine Hatchery Terminal,1981,SOCKEYE,0
Northern Purse Seine Hatchery Terminal,1981,COHO,0
Northern Purse Seine Hatchery Terminal,1981,PINK,0
Northern Purse Seine Hatchery Terminal,1981,CHUM,0
Northern Purse Seine Hatchery Terminal,1981,TOTAL,0
Total Drift Gillnet,1981,CHINOOK,6317
Total Drift Gillnet,1981,JACKS,0
Total Drift Gillnet,1981,SOCKEYE,438824
Total Drift Gillnet,1981,COHO,114535
Total Drift Gillnet,1981,PINK,1264900
Total Drift Gillnet,1981,CHUM,270231
Total Drift Gillnet,1981,TOTAL,2094807
Tree Point,1981,CHINOOK,1448
Tree Point,1981,JACKS,0
Tree Point,1981,SOCKEYE,104853
Tree Point,1981,COHO,18698
Tree Point,1981,PINK,433735
Tree Point,1981,CHUM,38527
Tree Point,1981,TOTAL,597261
Prince of Wales,1981,CHINOOK,1565
Prince of Wales,1981,JACKS,0
Prince of Wales,1981,SOCKEYE,182001
Prince of Wales,1981,COHO,22614
Prince of Wales,1981,PINK,437573
Prince of Wales,1981,CHUM,34296
Prince of Wales,1981,TOTAL,678049
Stikine,1981,CHINOOK,283
Stikine,1981,JACKS,0
Stikine,1981,SOCKEYE,8833
Stikine,1981,COHO,1403
Stikine,1981,PINK,1466
Stikine,1981,CHUM,3594
Stikine,1981,TOTAL,15579
Taku-Snettisham,1981,CHINOOK,1721
Taku-Snettisham,1981,JACKS,0
Taku-Snettisham,1981,SOCKEYE,49942
Taku-Snettisham,1981,COHO,26711
Taku-Snettisham,1981,PINK,254856
Taku-Snettisham,1981,CHUM,76438
Taku-Snettisham,1981,TOTAL,409668
Lynn Canal,1981,CHINOOK,1300
Lynn Canal,1981,JACKS,0
Lynn Canal,1981,SOCKEYE,93195
Lynn Canal,1981,COHO,44682
Lynn Canal,1981,PINK,137270
Lynn Canal,1981,CHUM,117376
Lynn Canal,1981,TOTAL,393823
Drift Gillnet Hatchery Terminal,1981,CHINOOK,0
Drift Gillnet Hatchery Terminal,1981,JACKS,0
Drift Gillnet Hatchery Terminal,1981,SOCKEYE,0
Drift Gillnet Hatchery Terminal,1981,COHO,427
Drift Gillnet Hatchery Terminal,1981,PINK,0
Drift Gillnet Hatchery Terminal,1981,CHUM,0
Drift Gillnet Hatchery Terminal,1981,TOTAL,427
Set Gillnet,1981,CHINOOK,2069
Set Gillnet,1981,JACKS,0
Set Gillnet,1981,SOCKEYE,149273
Set Gillnet,1981,COHO,132579
Set Gillnet,1981,PINK,133756
Set Gillnet,1981,CHUM,10655
Set Gillnet,1981,TOTAL,428332
Total Troll,1981,CHINOOK,NA
Total Troll,1981,JACKS,NA
Total Troll,1981,SOCKEYE,NA
Total Troll,1981,COHO,NA
Total Troll,1981,PINK,NA
Total Troll,1981,CHUM,NA
Total Troll,1981,TOTAL,NA
Hand Troll Total,1981,CHINOOK,NA
Hand Troll Total,1981,JACKS,NA
Hand Troll Total,1981,SOCKEYE,NA
Hand Troll Total,1981,COHO,NA
Hand Troll Total,1981,PINK,NA
Hand Troll Total,1981,CHUM,NA
Hand Troll Total,1981,TOTAL,NA
Hand Troll Traditional,1981,CHINOOK,NA
Hand Troll Traditional,1981,JACKS,NA
Hand Troll Traditional,1981,SOCKEYE,NA
Hand Troll Traditional,1981,COHO,NA
Hand Troll Traditional,1981,PINK,NA
Hand Troll Traditional,1981,CHUM,NA
Hand Troll Traditional,1981,TOTAL,NA
Hand Troll Hatchery Terminal,1981,CHINOOK,NA
Hand Troll Hatchery Terminal,1981,JACKS,NA
Hand Troll Hatchery Terminal,1981,SOCKEYE,NA
Hand Troll Hatchery Terminal,1981,COHO,NA
Hand Troll Hatchery Terminal,1981,PINK,NA
Hand Troll Hatchery Terminal,1981,CHUM,NA
Hand Troll Hatchery Terminal,1981,TOTAL,NA
Hand Troll Spring Fishery,1981,CHINOOK,NA
Hand Troll Spring Fishery,1981,JACKS,NA
Hand Troll Spring Fishery,1981,SOCKEYE,NA
Hand Troll Spring Fishery,1981,COHO,NA
Hand Troll Spring Fishery,1981,PINK,NA
Hand Troll Spring Fishery,1981,CHUM,NA
Hand Troll Spring Fishery,1981,TOTAL,NA
Power Troll Total,1981,CHINOOK,NA
